"","date","count","","","","","","","","","","","","","","","","","","","","","","","","","","max","","","","","","","","","","","","","","","","","","","","","","","","","","min","","","","","","","","","","","","","","","","","","","","","","","","","","mean","","","","","","","","","","","","","","","","","","","","","","","","","","std","","","","","","","","","","","","","","","","","","","","","","","","",""
"","0","136088194","136088202","136088394","136088802","136089546","136110468","136216674","136222202","136222210","136222234","136222250","136222882","136223186","136224578","136224586","136224978","136225010","136675426","136675626","136676578","136676650","136676666","136676682","136676698","136676714","136676754","136088194","136088202","136088394","136088802","136089546","136110468","136216674","136222202","136222210","136222234","136222250","136222882","136223186","136224578","136224586","136224978","136225010","136675426","136675626","136676578","136676650","136676666","136676682","136676698","136676714","136676754","136088194","136088202","136088394","136088802","136089546","136110468","136216674","136222202","136222210","136222234","136222250","136222882","136223186","136224578","136224586","136224978","136225010","136675426","136675626","136676578","136676650","136676666","136676682","136676698","136676714","136676754","136088194","136088202","136088394","136088802","136089546","136110468","136216674","136222202","136222210","136222234","136222250","136222882","136223186","136224578","136224586","136224978","136225010","136675426","136675626","136676578","136676650","136676666","136676682","136676698","136676714","136676754","136088194","136088202","136088394","136088802","136089546","136110468","136216674","136222202","136222210","136222234","136222250","136222882","136223186","136224578","136224586","136224978","136225010","136675426","136675626","136676578","136676650","136676666","136676682","136676698","136676714","136676754"
"0","5/3/2015","0","0","0","0","1","504","0","2","8","0","0","0","0","2","8","0","189","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85143","","","83458","","","","","","83458","","85428","","","","","","","","","","","","","","","57219","","","62482","","","","","","62482","","57300","","","","","","","","","","","","","","","62511.267857143","","","72762.75","","","","","","72762.75","","69708.158730159","","","","","","","","","","","","","","","2649.2666943087","","","8497.6600266527","","","","","","8497.6600266527","","9056.261198762","","","","","","","","",""
"1","5/4/2015","0","0","0","0","0","2250","0","1","2","0","0","0","0","1","2","0","894","0","0","0","0","0","0","0","0","0","0","0","0","0","0","78654","","","","","","","","","","","85968","","","","","","","","","","","","","","","13460","","","","","","","","","","","922","","","","","","","","","","","","","","","53031.172888889","","","","","","","","","","","58346.875838926","","","","","","","","","","","","","","","25382.115201306","","","","","","","","","","","25402.087769944","","","","","","","","",""
"2","5/5/2015","0","0","0","0","0","1700","0","2","5","0","0","0","0","2","5","0","2421","0","0","0","0","0","0","0","0","0","","","","","","78651","","","78637","","","","","","78637","","84193","","","","","","","","","","","","","","","9719","","","14846","","","","","","14846","","60","","","","","","","","","","","","","","","40999.58117647","","","53638","","","","","","53638","","14103.92606361","","","","","","","","","","","","","","","15378.363707191","","","23582.19806337","","","","","","23582.19806337","","13609.724304471","","","","","","","","",""
"3","5/6/2015","0","0","0","0","0","2261","0","10","7","0","1","0","0","12","7","0","364","0","0","0","0","0","0","0","0","0","","","","","","74104","","69169","74085","","","","","69169","74085","","83761","","","","","","","","","","","","","","","5719","","15554","5712","","","","","15554","5712","","479","","","","","","","","","","","","","","","44931.727996462","","60423.2","46783.571428571","","","","","60727.75","46783.571428571","","47695.115384615","","","","","","","","","","","","","","","23820.594001344","","17054.400649425","30959.472534574","","","","","15442.674875016","30959.472534574","","26122.640407718","","","","","","","","",""
"4","5/7/2015","0","0","0","0","0","2950","0","5","8","0","0","0","0","5","10","0","461","0","0","0","0","0","0","0","0","0","","","","","","67653","","67517","67649","","","","","67517","67649","","85082","","","","","","","","","","","","","","","2726","","19758","61585","","","","","19758","38575","","577","","","","","","","","","","","mean","","","","48090.756610169","","55276","65373.125","","","","","55276","60013.6","","41987.863340564","","","","","","","","","","","","","","","15053.40279082","","19950.84725018","2367.6224625138","","","","","19950.84725018","11489.918945657","","25499.201836204","","","","","","","","",""
"5","5/8/2015","0","0","0","0","0","2810","0","7","1","0","0","0","0","7","1","0","1997","0","0","0","0","0","0","0","0","0","","","","","","73380","","71525","","","","","","71525","","","86332","","","","","","","","","","","","","","","8197","","12071","","","","","","12071","","","156","","","","","","","","","","","","","","","39735.571174377","","50981.285714286","","","","","","50981.285714286","","","64636.623435153","","","","","","","","","","","","","","","26335.431328771","","26828.947610832","","","","","","26828.947610832","","","17494.625074989","","","","","","","","",""
"6","5/9/2015","0","0","0","1","0","2023","0","3","1","0","0","0","0","4","1","0","7406","0","0","0","0","0","0","0","0","0","","","","","","85883","","","","","","","","","","","85896","","","","","","","","","","","","","","","15185","","","","","","","","","","","63","","","","","","","","","","","","","","","41383.41028176","","","","","","","","","","","50294.222927356","","","","","","","","","","","","","","","14315.03913515","","","","","","","","","","","18652.719992383","","","","","","","","",""
"7","5/10/2015","0","0","0","0","0","3226","0","6","5","0","0","0","0","8","5","0","123","0","0","0","0","0","0","0","0","0","","","","","","85657","","49091","75348","","","","","49091","75348","","85652","","","","","","","","","","","","","","","2083","","5596","22473","","","","","5596","22473","","2073","","","","","","","","","","","","","","","44527.303781773","","37454.166666667","47881.4","","","","","35483","47881.4","","39869.585365854","","","","","","","","","","","","","","","26283.993870095","","17180.974191432","22595.492765151","","","","","14972.266418758","22595.492765151","","24910.218286823","","","","","","","","",""
"8","5/11/2015","0","0","0","0","0","1767","0","4","4","0","0","0","0","4","4","0","135","0","0","0","0","0","0","0","0","0","","","","","","86252","","","","","","","","","","","84868","","","","","","","","","","","","","","","552","","","","","","","","","","","1186","","","","","","","","","","","","","","","40557.522354273","","","","","","","","","","","40368.57037037","","","","","","","","","","","","","","","19602.340548114","","","","","","","","","","","26273.122053269","","","","","","","","",""
